dataset,method,classifier,fold,kfold,fmin,gmin,max_size,svc_C,pattern_type,closed_multiset,accuracy,pattern_number,extraction_time,time
asl-bu,occurrence,SVC,3,5,0.6,0.0,0,1,relevant,True,0.5862068965517241,396,19.92741992000083,45.3577697439905
asl-bu,occurrence,SVC,3,5,0.6,0.0,0,10,relevant,True,0.5747126436781609,396,19.92741992000083,45.33911682799226
asl-bu,occurrence,SVC,3,5,0.6,0.0,0,100,relevant,True,0.5862068965517241,396,19.92741992000083,45.331532216005144
asl-bu,occurrence,SVC,3,5,0.6,0.0,0,1000,relevant,True,0.5402298850574713,396,19.92741992000083,45.327708750002785
asl-bu,occurrence,SVC,4,5,0.6,0.0,0,0.001,relevant,True,0.367816091954023,170,12.617380019990378,23.076448280990007
asl-bu,occurrence,SVC,4,5,0.6,0.0,0,0.01,relevant,True,0.367816091954023,170,12.617380019990378,23.079127805991448
asl-bu,occurrence,SVC,4,5,0.6,0.0,0,0.1,relevant,True,0.4367816091954023,170,12.617380019990378,23.078551760991104
asl-bu,occurrence,SVC,4,5,0.6,0.0,0,1,relevant,True,0.5977011494252874,170,12.617380019990378,23.073127193987602
asl-bu,occurrence,SVC,4,5,0.6,0.0,0,10,relevant,True,0.632183908045977,170,12.617380019990378,23.067024236981524
asl-bu,occurrence,SVC,4,5,0.6,0.0,0,100,relevant,True,0.5632183908045977,170,12.617380019990378,23.074130377994152
asl-bu,occurrence,SVC,4,5,0.6,0.0,0,1000,relevant,True,0.5977011494252874,170,12.617380019990378,23.065434101008577
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,0.001,relevant,False,0.367816091954023,350,9.61548854400462,32.9507785080059
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,0.01,relevant,False,0.367816091954023,350,9.61548854400462,32.95288224000251
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,0.1,relevant,False,0.41379310344827586,350,9.61548854400462,32.95500284100126
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,1,relevant,False,0.5632183908045977,350,9.61548854400462,32.94595822501287
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,10,relevant,False,0.6206896551724138,350,9.61548854400462,32.93413700599922
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,100,relevant,False,0.6091954022988506,350,9.61548854400462,32.93049026399967
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,1000,relevant,False,0.5402298850574713,350,9.61548854400462,32.931978609994985
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,0.001,relevant,False,0.367816091954023,461,8.761065157988924,39.449766713994904
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,0.01,relevant,False,0.367816091954023,461,8.761065157988924,39.44766990299104
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,0.1,relevant,False,0.40229885057471265,461,8.761065157988924,39.44877010700293
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,1,relevant,False,0.5172413793103449,461,8.761065157988924,39.4369075979921
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,10,relevant,False,0.6436781609195402,461,8.761065157988924,39.422193505000905
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,100,relevant,False,0.6436781609195402,461,8.761065157988924,39.420147122000344
asl-bu,occurrence,SVC,1,5,0.6,0.0,4,1000,relevant,False,0.6091954022988506,461,8.761065157988924,39.41692219499964
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,0.001,relevant,False,0.367816091954023,498,9.602883655985352,46.76692119699146
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,0.01,relevant,False,0.367816091954023,498,9.602883655985352,46.796811191001325
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,0.1,relevant,False,0.39080459770114945,498,9.602883655985352,46.81558566899912
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,1,relevant,False,0.47126436781609193,498,9.602883655985352,46.78270345699275
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,10,relevant,False,0.6896551724137931,498,9.602883655985352,46.7457012009836
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,100,relevant,False,0.6781609195402298,498,9.602883655985352,46.75378806098888
asl-bu,occurrence,SVC,2,5,0.6,0.0,4,1000,relevant,False,0.6436781609195402,498,9.602883655985352,46.7412612039916
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,0.001,relevant,False,0.367816091954023,307,8.357925446980516,38.967630674975226
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,0.01,relevant,False,0.367816091954023,307,8.357925446980516,38.958761575995595
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,0.1,relevant,False,0.41379310344827586,307,8.357925446980516,38.960211146986694
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,1,relevant,False,0.5287356321839081,307,8.357925446980516,38.9426354579773
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,10,relevant,False,0.632183908045977,307,8.357925446980516,38.9285128289921
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,100,relevant,False,0.6551724137931034,307,8.357925446980516,38.9236011269968
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,1000,relevant,False,0.6551724137931034,307,8.357925446980516,38.92312079698604
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,0.001,relevant,False,0.367816091954023,636,19.22084129198629,62.87361963700096
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,0.01,relevant,False,0.367816091954023,636,19.22084129198629,62.87874018898583
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,0.1,relevant,False,0.40229885057471265,636,19.22084129198629,62.88877862300433
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,1,relevant,False,0.4482758620689655,636,19.22084129198629,62.8812176049978
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,10,relevant,False,0.6091954022988506,636,19.22084129198629,62.855999298000825
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,100,relevant,False,0.5747126436781609,636,19.22084129198629,62.83766743299202
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,1000,relevant,False,0.5977011494252874,636,19.22084129198629,62.828181228003814
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,0.001,relevant,True,0.367816091954023,91,13.02588441898115,20.07480411499273
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,0.01,relevant,True,0.367816091954023,91,13.02588441898115,20.076759884992498
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,0.1,relevant,True,0.4482758620689655,91,13.02588441898115,20.081343992002076
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,1,relevant,True,0.6091954022988506,91,13.02588441898115,20.07197664899286
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,10,relevant,True,0.7011494252873564,91,13.02588441898115,20.06840341699717
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,100,relevant,True,0.632183908045977,91,13.02588441898115,20.068289301008917
asl-bu,occurrence,SVC,0,5,0.6,0.0,4,1000,relevant,True,0.5862068965517241,91,13.02588441898115,20.06969374700566
